Pollutant,GWP
C2F6,9200
C3F8,7000
C4F10,7000
C5F12,7500
C6F14,7400
c-C3F6,17340
c-C4F8,8700
(CF2)4CH(OH),73
(CF3)2CFOCH3,343
(CF3)2CHOCH3,27
(CF3)2CHOCHF2,380
(CF3)2CHOH,195
CF3CF2CH2OH,42
(CF3)CH2OH,57
CF4,6500
CH3OCH3,1
CH4,28
CO2,1
FIC-1311,1
HCFC-22,1810
HCFE-235da2,491
HFC-125,3170
HFC-134,1120
HFC-134a,1300
HFC-143,328
HFC-143a,4800
HFC-152,16
HFC-152a,138
HFC-161,4
HFC-227ea,3350
HFC-23,12400
HFC-236cb,1210
HFC-236ea,1330
HFC-236fa,8060
HFC-245ca,716
HFC-245fa,858
HFC-32,677
HFC-365mfc,804
HFC-41,116
HFC-4310mee,1640
HFE-125,12400
HFE-134,5560
HFE-143a,523
HFE-227ea,6450
HFE-236ea2,1790
HFE-236fa,6300
HFE-245cb2,654
HFE-245fa1,828
HFE-245fa2,812
HFE-254cb2,359
HFE-263fb2,1
HFE-329mcc2,3070
HFE-338mcf2,929
HFE-347mcc3,530
HFE-347-mcf2,854
HFE-356mec3,387
HFE-356pcc3,110
HFE-356pcf2,719
HFE-356pcf3,446
HFE-365mcf3,1
HFE-374pcf2,557
HFE-7100,297
HFE-7200,59
HG-01,1500
HG-10,2800
H-Galden 1040x,1870
N2O,265
NF3,16100
R-11,4000
R-404a,3922
R-407c,1610
R-408a,3152
R-410a,1725
R-414b,1365
R-420a,1536
R-508b,13400
SF5CF3,17400
SF6,23500
