Scope,Category,Sub_category,Source,Units,UVA 2016 inventory data,CO2 EF,CO2 EF Units,eCO2 EF,eCO2 EF Units,CH4 EF,CH4 EF Units,N2O EF,N2O EF Units,NOx EF,NOx EF Units,Other N EF,Other N EF Units,P EF,P EF Units,Water EF,Water EF Units
Scope 1,Agriculture Sources,Animal Husbandry,Beef Cows,head,,,kg CO2 / head,,kg eCO2 / head,58.03529522,kg CH4 / head,0.312118652,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Animal Husbandry,Dairy Cows,head,,,kg CO2 / head,,kg eCO2 / head,206.3492063,kg CH4 / head,1.388888889,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Animal Husbandry,Goats,head,,,kg CO2 / head,,kg eCO2 / head,5.318369946,kg CH4 / head,0.031836995,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Animal Husbandry,Horses,head,,,kg CO2 / head,,kg eCO2 / head,23.66037736,kg CH4 / head,0.1,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Animal Husbandry,Other,head,,,kg CO2 / head,,kg eCO2 / head,0,kg CH4 / head,0,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Animal Husbandry,Poultry,head,,,kg CO2 / head,,kg eCO2 / head,0.062287165,kg CH4 / head,0.011484196,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Animal Husbandry,Sheep,head,,,kg CO2 / head,,kg eCO2 / head,9.058574453,kg CH4 / head,0.197380226,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Animal Husbandry,Swine,head,,,kg CO2 / head,,kg eCO2 / head,16.15382653,kg CH4 / head,0.095837262,kg N2O / head,,kg NOx / head,,kg N / head,,,,
Scope 1,Agriculture Sources,Fertilizer,Organic,pound,,,kg CO2 / pound N,,kg eCO2 / pound N,,kg CH4 / pound N,0.013896745,kg N2O / pound N,,kg NOx / pound N,0.2494756,kg N / pound N,,,,
Scope 1,Agriculture Sources,Fertilizer,Synthetic,pound,4462,,kg CO2 / pound N,,kg eCO2 / pound N,,kg CH4 / pound N,0.014074908,kg N2O / pound N,,kg NOx / pound N,0.2494756,kg N / pound N,,,,
